C:\Users\lanry\Desktop\kreathief\components\Header.tsx: line 141, col 43, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Header.tsx: line 146, col 43, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Header.tsx: line 151, col 43, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\LandingPage.tsx: line 3, col 13, Error - 'Icons' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
C:\Users\lanry\Desktop\kreathief\components\QuickAccessBar.tsx: line 43, col 64, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\SaveIndicator.tsx: line 104, col 17, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\lanry\Desktop\kreathief\components\SidePanel.tsx: line 33, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Sidebar.tsx: line 7, col 34, Error - Component definition is missing display name (react/display-name)
C:\Users\lanry\Desktop\kreathief\components\Toolbar.tsx: line 87, col 15, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Toolbar.tsx: line 146, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Toolbar.tsx: line 146, col 75, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Toolbar.tsx: line 177, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\Toolbar.tsx: line 184, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\blog\BlogPostView.tsx: line 73, col 63, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\blog\BlogPostView.tsx: line 74, col 64, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\blog\BlogPostView.tsx: line 75, col 65, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\blog\BlogPostView.tsx: line 76, col 63, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 28, col 48, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 30, col 40, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 86, col 49, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 204, col 51, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 218, col 47, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 225, col 47, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 226, col 53, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 226, col 102, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 226, col 153, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 361, col 10, Warning - React Hook useEffect has a missing dependency: 'textLayer'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 494, col 52, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\LayerItems.tsx: line 534, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\MultiSelectionHandles.tsx: line 45, col 8, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\canvas\SelectionHandles.tsx: line 27, col 45, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\lanry\Desktop\kreathief\components\icons\index.tsx: line 3, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\lanry\Desktop\kreathief\components\mockup\CornerHandles.tsx: line 59, col 53, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\mockup\CornerHandles.tsx: line 104, col 19, Error - Expected { after 'if' condition. (curly)
C:\Users\lanry\Desktop\kreathief\components\modals\CreateProjectModal.tsx: line 38, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
